number,value,datetime_start,datetime_complete,duration,params_N_min,params_dt,params_max_distance,params_p_var,params_percentile,params_q_var,params_r_var,state
0,20.43552647975865,2025-06-16 18:59:44.440777,2025-06-16 18:59:53.853410,0 days 00:00:09.412633,4,0.1,60.0,20.0,70,1e-05,0.01,COMPLETE
1,20.346289701507594,2025-06-16 18:59:53.853610,2025-06-16 19:00:02.788548,0 days 00:00:08.934938,8,0.1,80.0,1.0,80,1e-05,0.0001,COMPLETE
2,14.773591576293308,2025-06-16 19:00:02.788728,2025-06-16 19:00:12.317464,0 days 00:00:09.528736,15,0.1,30.0,60.0,85,0.01,1e-05,COMPLETE
3,16.947267718385177,2025-06-16 19:00:12.317700,2025-06-16 19:00:21.283123,0 days 00:00:08.965423,70,0.4,100.0,1.0,50,0.0001,1e-05,COMPLETE
4,23.05731085942903,2025-06-16 19:00:21.283290,2025-06-16 19:00:31.135270,0 days 00:00:09.851980,4,0.5,80.0,1.0,60,0.0001,0.1,COMPLETE
5,16.277708268582987,2025-06-16 19:00:31.135442,2025-06-16 19:00:41.343220,0 days 00:00:10.207778,1,0.2,100.0,100.0,85,0.001,1e-05,COMPLETE
6,23.726166091324114,2025-06-16 19:00:41.343401,2025-06-16 19:00:51.582311,0 days 00:00:10.238910,20,0.1,100.0,5.0,85,1e-05,0.01,COMPLETE
7,10.79204906481701,2025-06-16 19:00:51.582486,2025-06-16 19:01:01.298973,0 days 00:00:09.716487,20,0.5,15.0,5.0,95,0.0001,1e-05,COMPLETE
8,17.03763787152013,2025-06-16 19:01:01.299200,2025-06-16 19:01:11.184608,0 days 00:00:09.885408,40,0.8,40.0,20.0,50,0.1,0.001,COMPLETE
9,21.426496911316985,2025-06-16 19:01:11.184965,2025-06-16 19:01:20.843766,0 days 00:00:09.658801,8,0.3,60.0,20.0,50,0.001,0.1,COMPLETE
10,11.177396346442462,2025-06-16 19:01:20.843943,2025-06-16 19:01:30.295573,0 days 00:00:09.451630,20,0.6,15.0,5.0,95,0.0001,1.0,COMPLETE
11,11.177396346442462,2025-06-16 19:01:30.295756,2025-06-16 19:01:39.799865,0 days 00:00:09.504109,20,0.6,15.0,5.0,95,0.0001,1.0,COMPLETE
12,11.139225320166512,2025-06-16 19:01:39.800042,2025-06-16 19:01:49.309756,0 days 00:00:09.509714,25,0.9,15.0,5.0,95,0.0001,1.0,COMPLETE
